"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"IMF.RES:WEO(4.0.0)","MDV.TMG_RPCH.A","OBS_VALUE","Maldives","Imports of goods, Volume, Percent change","Annual","Units","24.761","3.521","9.589","63.549","19.232","-34.158","1.159","36.313","-0.665","-6.429","16.465","8.199","-1.169","4.205","21.99","2.939","-33.606","27.497"
"IMF.RES:WEO(4.0.0)","MDG.TMG_RPCH.A","OBS_VALUE","Madagascar, Republic of","Imports of goods, Volume, Percent change","Annual","Units","10.862","44.72","1.304","119.54","13.441","-30.109","-12.852","5.548","20.997","13.541","6.214","-7.82","17.833","13.539","-0.154","3.406","-17.764","11.117"
"IMF.RES:WEO(4.0.0)","MEX.TMG_RPCH.A","OBS_VALUE","Mexico","Imports of goods, Volume, Percent change","Annual","Units","7.158","5.682","7.946","5.082","4.46","-17.351","19.246","5.595","5.603","3.536","6.447","5.173","2.522","5.538","5.836","-0.72","-10.988","15.512"
"IMF.RES:WEO(4.0.0)","MKD.TMG_RPCH.A","OBS_VALUE","North Macedonia, Republic of","Imports of goods, Volume, Percent change","Annual","Units","21.567","10.605","13.09","16.874","6.128","-12.41","11.475","10.629","6.343","1.435","12.259","8.475","13.117","5.929","7.203","14.479","-10.128","12.455"
"IMF.RES:WEO(4.0.0)","MMR.TMG_RPCH.A","OBS_VALUE","Myanmar","Imports of goods, Volume, Percent change","Annual","Units","-12.192","-10.266","21.181","66.908","39.837","12.21","-51.0","92.072","1.088","18.451","48.054","10.707","2.271","19.598","0.386","-14.52","8.38","-25.811"
"IMF.RES:WEO(4.0.0)","MNE.TMG_RPCH.A","OBS_VALUE","Montenegro","Imports of goods, Volume, Percent change","Annual","Units","34.665","4.653","46.298","38.769","8.631","-31.721","-4.302","5.642","-1.358","-1.293","1.425","6.583","12.453","8.458","8.216","0.977","-17.563","7.37"
"IMF.RES:WEO(4.0.0)","MNG.TMG_RPCH.A","OBS_VALUE","Mongolia","Imports of goods, Volume, Percent change","Annual","Units","15.908","4.563","11.183","30.726","34.066","-23.106","33.63","95.102","1.782","-3.253","-17.466","-11.191","-5.886","20.44","28.768","5.762","-5.303","5.833"
"IMF.RES:WEO(4.0.0)","MWI.TMG_RPCH.A","OBS_VALUE","Malawi","Imports of goods, Volume, Percent change","Annual","Units","8.411","3.429","4.006","-7.299","32.454","-24.991","46.552","-14.353","-10.5","-0.714","10.551","12.816","3.285","5.579","-15.343","14.342","10.867","-14.33"
"IMF.RES:WEO(4.0.0)","MUS.TMG_RPCH.A","OBS_VALUE","Mauritius","Imports of goods, Volume, Percent change","Annual","Units","11.776","11.765","9.629","17.196","3.53","-12.71","8.044","7.041","3.737","4.125","3.639","3.56","3.13","5.975","2.867","1.19","-9.363","10.88"
"IMF.RES:WEO(4.0.0)","MRT.TMG_RPCH.A","OBS_VALUE","Mauritania, Islamic Republic of","Imports of goods, Volume, Percent change","Annual","Units","17.265","14.516","6.682","16.627","1.465","0.221","12.698","10.978","15.321","35.178","8.971","-11.545","14.75","0.669","11.401","-1.342","-0.64","4.955"
"IMF.RES:WEO(4.0.0)","MOZ.TMG_RPCH.A","OBS_VALUE","Mozambique, Republic of","Imports of goods, Volume, Percent change","Annual","Units","0.938","10.208","10.781","-3.023","10.146","5.483","-6.894","36.185","47.801","18.777","-1.483","1.791","-33.733","5.693","11.619","10.627","-8.909","9.097"
"IMF.RES:WEO(4.0.0)","MYS.TMG_RPCH.A","OBS_VALUE","Malaysia","Imports of goods, Volume, Percent change","Annual","Units","22.955","4.668","15.874","1.673","-8.698","-23.454","18.121","4.597","0.257","5.864","4.13","1.273","0.521","12.833","3.118","-3.16","-2.837","18.648"
"IMF.RES:WEO(4.0.0)","NIC.TMG_RPCH.A","OBS_VALUE","Nicaragua","Imports of goods, Volume, Percent change","Annual","Units","8.315","8.712","21.628","12.257","9.671","-8.977","13.586","11.078","7.097","-0.181","5.144","14.109","5.283","3.771","-15.575","-3.228","5.012","16.988"
"IMF.RES:WEO(4.0.0)","NOR.TMG_RPCH.A","OBS_VALUE","Norway","Imports of goods, Volume, Percent change","Annual","Units","12.086","8.033","10.492","9.124","4.564","-11.607","6.871","4.493","0.141","4.126","1.879","2.686","0.383","2.514","2.222","5.221","-2.476","3.801"
"IMF.RES:WEO(4.0.0)","OMN.TMG_RPCH.A","OBS_VALUE","Oman","Imports of goods, Volume, Percent change","Annual","Units","17.854","-5.242","13.997","35.467","27.86","-19.956","-5.04","10.285","24.078","27.444","-8.027","7.964","-16.997","8.401","-3.354","-16.615","22.42","-5.917"
"IMF.RES:WEO(4.0.0)","PAN.TMG_RPCH.A","OBS_VALUE","Panama","Imports of goods, Volume, Percent change","Annual","Units","13.716","7.103","7.399","20.887","16.395","-15.013","27.184","27.489","-3.646","-3.278","-2.099","-3.067","0.856","6.932","-0.68","-9.943","-27.978","31.81"
"IMF.RES:WEO(4.0.0)","PHL.TMG_RPCH.A","OBS_VALUE","Philippines","Imports of goods, Volume, Percent change","Annual","Units","2.184","6.502","2.808","0.583","6.87","-9.418","17.475","1.154","10.805","-3.713","11.527","4.267","22.361","19.358","11.807","-2.491","-20.01","18.121"
